date,datetime,cash_type,card,money,coffee_name,es_outlier,mes,año,dia_semana,es_fin_semana,temporada
2019-01-01,2019-01-01 03:59:12.295,card,ANON-2019-5840-3752,26.9,Americano,False,1,2019,1,False,Invierno
2019-01-01,2019-01-01 07:46:36.045,card,ANON-2019-1881-3929,38.9,Americano with Milk,False,1,2019,1,False,Invierno
2019-01-01,2019-01-01 13:57:19.388,card,ANON-2019-7626-0422,30.7,Cappuccino,False,1,2019,1,False,Invierno
2019-01-01,2019-01-01 14:33:54.113,card,ANON-2019-8130-1336,35.3,Cocoa,False,1,2019,1,False,Invierno
2019-01-01,2019-01-01 16:36:27.670,card,ANON-2019-8778-2718,33.7,Americano with Milk,False,1,2019,1,False,Invierno
2019-01-01,2019-01-01 17:34:01.805,card,ANON-2019-5822-3350,32.5,Americano with Milk,False,1,2019,1,False,Invierno
2019-01-01,2019-01-01 17:42:33.772,card,ANON-2019-4278-2253,31.9,Cocoa,False,1,2019,1,False,Invierno
2019-01-01,2019-01-01 19:31:42.810,card,ANON-2019-1612-3220,34.0,Americano with Milk,False,1,2019,1,False,Invierno
2019-01-01,2019-01-01 21:33:43.728,cash,PAGO-EFECTIVO,38.3,Latte,False,1,2019,1,False,Invierno
2019-01-02,2019-01-02 00:37:36.885,card,ANON-2019-2710-3615,28.3,Americano,False,1,2019,2,False,Invierno
2019-01-02,2019-01-02 03:00:31.500,card,ANON-2019-1210-2829,31.6,Cocoa,False,1,2019,2,False,Invierno
2019-01-02,2019-01-02 04:17:24.172,card,ANON-2019-3087-1846,35.4,Hot Chocolate,False,1,2019,2,False,Invierno
2019-01-02,2019-01-02 06:29:43.409,card,ANON-2019-6638-2479,34.3,Hot Chocolate,True,1,2019,2,False,Invierno
2019-01-02,2019-01-02 08:00:27.975,cash,PAGO-EFECTIVO,33.2,Americano with Milk,False,1,2019,2,False,Invierno
2019-01-02,2019-01-02 09:49:55.667,cash,PAGO-EFECTIVO,38.6,Latte,False,1,2019,2,False,Invierno
2019-01-02,2019-01-02 12:26:20.589,card,ANON-2019-7690-2285,31.9,Cappuccino,False,1,2019,2,False,Invierno
2019-01-02,2019-01-02 12:57:28.472,card,ANON-2019-5689-0323,38.0,Latte,False,1,2019,2,False,Invierno
2019-01-02,2019-01-02 17:01:43.100,card,ANON-2019-2093-3834,33.6,Americano with Milk,False,1,2019,2,False,Invierno
2019-01-02,2019-01-02 21:04:38.073,cash,PAGO-EFECTIVO,41.6,Latte,False,1,2019,2,False,Invierno
2019-01-02,2019-01-02 21:05:49.466,card,ANON-2019-4245-3692,39.7,Cappuccino,False,1,2019,2,False,Invierno
2019-01-02,2019-01-02 23:04:16.416,card,ANON-2019-2425-0873,33.8,Latte,False,1,2019,2,False,Invierno
2019-01-03,2019-01-03 00:41:35.956,cash,PAGO-EFECTIVO,33.0,Americano with Milk,False,1,2019,3,False,Invierno
2019-01-03,2019-01-03 02:47:19.068,card,ANON-2019-2169-0249,37.7,Latte,False,1,2019,3,False,Invierno
2019-01-03,2019-01-03 03:14:32.642,card,ANON-2019-4272-3558,34.7,Latte,False,1,2019,3,False,Invierno
2019-01-03,2019-01-03 04:23:39.752,card,ANON-2019-7594-3130,32.5,Americano with Milk,False,1,2019,3,False,Invierno
2019-01-03,2019-01-03 04:42:16.833,card,ANON-2019-8467-2917,31.5,Americano with Milk,False,1,2019,3,False,Invierno
2019-01-03,2019-01-03 08:47:56.266,cash,PAGO-EFECTIVO,22.4,Espresso,False,1,2019,3,False,Invierno
2019-01-03,2019-01-03 09:46:21.403,card,ANON-2019-7669-0061,30.0,Latte,False,1,2019,3,False,Invierno
2019-01-03,2019-01-03 09:56:05.383,cash,PAGO-EFECTIVO,23.9,Cortado,False,1,2019,3,False,Invierno
2019-01-03,2019-01-03 14:53:51.616,card,ANON-2019-5252-2140,35.0,Latte,False,1,2019,3,False,Invierno
2019-01-03,2019-01-03 17:01:29.061,cash,PAGO-EFECTIVO,28.0,Latte,False,1,2019,3,False,Invierno
2019-01-03,2019-01-03 19:39:46.964,cash,PAGO-EFECTIVO,39.1,Cappuccino,False,1,2019,3,False,Invierno
2019-01-03,2019-01-03 20:04:38.429,card,ANON-2019-6419-0217,32.0,Latte,False,1,2019,3,False,Invierno
2019-01-04,2019-01-04 01:51:47.161,cash,PAGO-EFECTIVO,35.8,Cappuccino,False,1,2019,4,False,Invierno
2019-01-04,2019-01-04 11:23:57.738,cash,PAGO-EFECTIVO,33.7,Latte,False,1,2019,4,False,Invierno
2019-01-04,2019-01-04 16:08:44.626,cash,PAGO-EFECTIVO,21.8,Americano,False,1,2019,4,False,Invierno
2019-01-04,2019-01-04 19:05:41.986,card,ANON-2019-9938-3811,35.0,Hot Chocolate,False,1,2019,4,False,Invierno
2019-01-04,2019-01-04 21:12:43.437,card,ANON-2019-6921-3333,23.8,Americano,False,1,2019,4,False,Invierno
2019-01-04,2019-01-04 21:28:37.709,card,ANON-2019-8354-2792,33.4,Latte,False,1,2019,4,False,Invierno
2019-01-05,2019-01-05 05:56:50.355,card,ANON-2019-2819-3431,35.5,Cocoa,False,1,2019,5,True,Invierno
2019-01-05,2019-01-05 09:31:34.317,card,ANON-2019-4328-0735,31.9,Americano with Milk,False,1,2019,5,True,Invierno
2019-01-05,2019-01-05 09:49:53.382,card,ANON-2019-4878-1886,36.7,Latte,False,1,2019,5,True,Invierno
2019-01-05,2019-01-05 11:37:12.035,card,ANON-2019-2691-1395,42.1,Cappuccino,False,1,2019,5,True,Invierno
2019-01-05,2019-01-05 16:08:02.944,card,ANON-2019-6023-0218,21.8,Espresso,False,1,2019,5,True,Invierno
2019-01-05,2019-01-05 18:39:12.105,card,ANON-2019-6268-3369,35.3,Cappuccino,False,1,2019,5,True,Invierno
2019-01-05,2019-01-05 19:43:45.193,cash,PAGO-EFECTIVO,42.4,Cocoa,False,1,2019,5,True,Invierno
2019-01-05,2019-01-05 21:17:27.613,card,ANON-2019-5924-3926,37.9,Americano with Milk,False,1,2019,5,True,Invierno
2019-01-05,2019-01-05 23:30:19.312,card,ANON-2019-4791-0748,25.0,Americano,False,1,2019,5,True,Invierno
2019-01-05,2019-01-05 23:44:00.870,card,ANON-2019-4629-1371,29.0,Cappuccino,False,1,2019,5,True,Invierno
2019-01-06,2019-01-06 04:26:56.263,card,ANON-2019-7244-0714,31.2,Americano with Milk,False,1,2019,6,True,Invierno
2019-01-06,2019-01-06 08:31:03.869,card,ANON-2019-4971-3407,26.0,Americano,False,1,2019,6,True,Invierno
2019-01-06,2019-01-06 09:15:35.160,cash,PAGO-EFECTIVO,35.6,Latte,False,1,2019,6,True,Invierno
2019-01-06,2019-01-06 12:35:37.544,card,ANON-2019-7671-1123,39.2,Cappuccino,False,1,2019,6,True,Invierno
2019-01-06,2019-01-06 15:07:20.190,card,ANON-2019-3246-0915,32.1,Cappuccino,False,1,2019,6,True,Invierno
2019-01-06,2019-01-06 15:40:01.463,card,ANON-2019-3727-1736,32.2,Cappuccino,False,1,2019,6,True,Invierno
2019-01-06,2019-01-06 16:20:44.237,card,ANON-2019-1862-0968,39.1,Hot Chocolate,False,1,2019,6,True,Invierno
2019-01-06,2019-01-06 17:18:19.626,card,ANON-2019-4483-3255,28.4,Americano with Milk,False,1,2019,6,True,Invierno
2019-01-06,2019-01-06 19:35:10.954,card,ANON-2019-9056-0862,32.5,Cocoa,False,1,2019,6,True,Invierno
2019-01-06,2019-01-06 19:45:02.259,card,ANON-2019-6062-0401,27.8,Americano,False,1,2019,6,True,Invierno
2019-01-07,2019-01-07 02:49:39.983,card,ANON-2019-7547-0149,35.1,Americano with Milk,False,1,2019,0,False,Invierno
2019-01-07,2019-01-07 03:22:15.388,card,ANON-2019-1472-1233,38.1,Latte,False,1,2019,0,False,Invierno
2019-01-07,2019-01-07 04:04:54.047,card,ANON-2019-3932-2678,27.8,Cortado,False,1,2019,0,False,Invierno
2019-01-07,2019-01-07 06:44:37.682,card,ANON-2019-8489-0498,39.1,Cappuccino,False,1,2019,0,False,Invierno
2019-01-07,2019-01-07 09:40:08.873,card,ANON-2019-9090-2590,30.9,Americano,False,1,2019,0,False,Invierno
2019-01-07,2019-01-07 09:47:01.414,card,ANON-2019-7510-3799,24.2,Cortado,False,1,2019,0,False,Invierno
2019-01-07,2019-01-07 11:30:27.611,card,ANON-2019-2412-2441,33.8,Latte,False,1,2019,0,False,Invierno
2019-01-07,2019-01-07 12:13:20.507,card,ANON-2019-8311-1753,33.0,Americano with Milk,False,1,2019,0,False,Invierno
