Fecha,codigo_ecoicop,IPC_Categoria,grupo_ecoicop,year
2023-12-31 23:00:00,1,128.395,Alimentos y bebidas no alcohólicas,2023
2023-11-30 23:00:00,1,127.728,Alimentos y bebidas no alcohólicas,2023
2023-10-31 23:00:00,1,127.761,Alimentos y bebidas no alcohólicas,2023
2023-09-30 22:00:00,1,127.63,Alimentos y bebidas no alcohólicas,2023
2023-08-31 22:00:00,1,126.029,Alimentos y bebidas no alcohólicas,2023
2023-07-31 22:00:00,1,125.42,Alimentos y bebidas no alcohólicas,2023
2023-06-30 22:00:00,1,125.193,Alimentos y bebidas no alcohólicas,2023
2023-05-31 22:00:00,1,124.245,Alimentos y bebidas no alcohólicas,2023
2023-04-30 22:00:00,1,123.935,Alimentos y bebidas no alcohólicas,2023
2023-03-31 22:00:00,1,123.474,Alimentos y bebidas no alcohólicas,2023
2023-02-28 23:00:00,1,123.144,Alimentos y bebidas no alcohólicas,2023
2023-01-31 23:00:00,1,121.849,Alimentos y bebidas no alcohólicas,2023
2022-12-31 23:00:00,1,119.498,Alimentos y bebidas no alcohólicas,2022
2022-11-30 23:00:00,1,119.044,Alimentos y bebidas no alcohólicas,2022
2022-10-31 23:00:00,1,117.185,Alimentos y bebidas no alcohólicas,2022
2022-09-30 22:00:00,1,116.61,Alimentos y bebidas no alcohólicas,2022
2022-08-31 22:00:00,1,114.017,Alimentos y bebidas no alcohólicas,2022
2022-07-31 22:00:00,1,113.481,Alimentos y bebidas no alcohólicas,2022
2022-06-30 22:00:00,1,112.95,Alimentos y bebidas no alcohólicas,2022
2022-05-31 22:00:00,1,112.609,Alimentos y bebidas no alcohólicas,2022
2022-04-30 22:00:00,1,110.658,Alimentos y bebidas no alcohólicas,2022
2022-03-31 22:00:00,1,109.328,Alimentos y bebidas no alcohólicas,2022
2022-02-28 23:00:00,1,105.729,Alimentos y bebidas no alcohólicas,2022
2022-01-31 23:00:00,1,104.47,Alimentos y bebidas no alcohólicas,2022
2021-12-31 23:00:00,1,103.593,Alimentos y bebidas no alcohólicas,2021
2021-11-30 23:00:00,1,102.903,Alimentos y bebidas no alcohólicas,2021
2021-10-31 23:00:00,1,101.609,Alimentos y bebidas no alcohólicas,2021
2021-09-30 22:00:00,1,101.013,Alimentos y bebidas no alcohólicas,2021
2021-08-31 22:00:00,1,99.704,Alimentos y bebidas no alcohólicas,2021
2021-07-31 22:00:00,1,99.76,Alimentos y bebidas no alcohólicas,2021
2021-06-30 22:00:00,1,99.493,Alimentos y bebidas no alcohólicas,2021
2021-05-31 22:00:00,1,99.699,Alimentos y bebidas no alcohólicas,2021
2021-04-30 22:00:00,1,99.706,Alimentos y bebidas no alcohólicas,2021
2021-03-31 22:00:00,1,99.281,Alimentos y bebidas no alcohólicas,2021
2021-02-28 23:00:00,1,98.986,Alimentos y bebidas no alcohólicas,2021
2021-01-31 23:00:00,1,98.953,Alimentos y bebidas no alcohólicas,2021
2023-12-31 23:00:00,3,101.067,Vestido y calzado,2023
2023-11-30 23:00:00,3,113.15,Vestido y calzado,2023
2023-10-31 23:00:00,3,114.238,Vestido y calzado,2023
2023-09-30 22:00:00,3,109.614,Vestido y calzado,2023
2023-08-31 22:00:00,3,100.897,Vestido y calzado,2023
2023-07-31 22:00:00,3,98.313,Vestido y calzado,2023
2023-06-30 22:00:00,3,98.918,Vestido y calzado,2023
2023-05-31 22:00:00,3,109.585,Vestido y calzado,2023
2023-04-30 22:00:00,3,110.465,Vestido y calzado,2023
